Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27,,12/8/2017,29-269,GSW,@,DET,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,12/11/2017,29-272,GSW,,POR,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
29,,12/14/2017,29-275,GSW,,DAL,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,12/18/2017,29-279,GSW,@,LAL,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,12/20/2017,29-281,GSW,,MEM,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,12/22/2017,29-283,GSW,,LAL,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,12/23/2017,29-284,GSW,,DEN,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,12/25/2017,29-286,GSW,,CLE,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
35,,12/27/2017,29-288,GSW,,UTA,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
36,,12/29/2017,29-290,GSW,,CHO,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
37,24,12/30/2017,29-291,GSW,,MEM,W (+13),1,25:36:00,13,17,0.765,10,13,0.769,2,2,1,0,4,4,3,0,0,0,2,38,33.8,24
38,25,1/3/2018,29-295,GSW,@,DAL,W (+3),1,34:29:00,11,19,0.579,6,13,0.462,4,5,0.8,0,5,5,8,1,0,3,1,32,27.4,7
39,26,1/4/2018,29-296,GSW,@,HOU,W (+10),1,36:51:00,10,20,0.5,4,10,0.4,5,6,0.833,0,9,9,5,1,0,3,3,29,21.6,3
40,27,1/6/2018,29-298,GSW,@,LAC,W (+16),1,29:51:00,11,21,0.524,8,16,0.5,15,16,0.938,2,4,6,3,3,0,2,2,45,39.2,28
41,28,1/8/2018,29-300,GSW,,DEN,W (+10),1,34:50:00,9,17,0.529,5,10,0.5,9,10,0.9,1,3,4,9,2,0,6,3,32,26,3
42,,1/10/2018,29-302,GSW,,LAC,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
43,,1/12/2018,29-304,GSW,@,MIL,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
44,29,1/13/2018,29-305,GSW,@,TOR,W (+2),1,34:28:00,6,12,0.5,2,7,0.286,10,12,0.833,0,6,6,9,1,0,1,3,24,24.1,-5
45,30,1/15/2018,29-307,GSW,@,CLE,W (+10),1,33:24:00,8,15,0.533,4,8,0.5,3,4,0.75,1,3,4,8,2,0,3,3,23,20.3,13
46,31,1/17/2018,29-309,GSW,@,CHI,W (+7),1,34:55:00,10,18,0.556,6,11,0.545,4,4,1,0,9,9,4,1,0,6,2,30,21.1,21
47,32,1/20/2018,29-312,GSW,@,HOU,L (-8),1,36:11:00,6,20,0.3,5,15,0.333,2,4,0.5,0,1,1,8,2,0,6,2,19,7.7,-11
48,33,1/23/2018,29-315,GSW,,NYK,W (+11),1,33:16:00,9,19,0.474,8,15,0.533,6,6,1,0,6,6,7,0,0,1,2,32,27.2,4
49,34,1/25/2018,29-317,GSW,,MIN,W (+13),1,37:26:00,9,14,0.643,5,9,0.556,2,3,0.667,2,3,5,9,3,0,2,2,25,27.2,20
50,35,1/27/2018,29-319,GSW,,BOS,W (+4),1,36:48:00,16,24,0.667,8,13,0.615,9,10,0.9,0,4,4,5,2,0,1,2,49,43.1,6
51,36,1/30/2018,29-322,GSW,@,UTA,L (-30),1,29:38:00,4,13,0.308,1,7,0.143,5,5,1,1,1,2,5,0,0,3,1,14,7.6,-17
52,37,2/2/2018,29-325,GSW,@,SAC,W (+15),1,35:35:00,7,17,0.412,3,10,0.3,6,6,1,1,4,5,6,2,0,6,3,23,14.8,14
53,38,2/3/2018,29-326,GSW,@,DEN,L (-7),1,35:37:00,8,16,0.5,5,12,0.417,3,4,0.75,1,5,6,4,2,0,5,2,24,16.8,4
54,39,2/6/2018,29-329,GSW,,OKC,L (-20),1,31:49:00,6,14,0.429,2,9,0.222,7,7,1,1,4,5,5,1,1,3,3,21,16.5,-13
55,40,2/8/2018,29-331,GSW,,DAL,W (+18),1,29:41:00,7,12,0.583,4,9,0.444,2,2,1,2,5,7,8,0,0,4,1,20,18.5,3
56,41,2/10/2018,29-333,GSW,,SAS,W (+17),1,28:52:00,7,13,0.538,3,7,0.429,0,0,,1,3,4,8,2,0,2,0,17,17.9,6
57,42,2/12/2018,29-335,GSW,,PHO,W (+46),1,29:53:00,8,17,0.471,3,9,0.333,3,3,1,2,7,9,7,0,1,3,3,22,18.2,21
58,43,2/14/2018,29-337,GSW,@,POR,L (-6),1,34:26:00,6,17,0.353,3,10,0.3,2,2,1,2,2,4,6,3,0,7,4,17,8.1,-7
59,44,2/22/2018,29-345,GSW,,LAC,W (+7),1,37:08:00,14,19,0.737,8,11,0.727,8,8,1,1,5,6,10,2,0,4,4,44,41.9,8
60,45,2/24/2018,29-347,GSW,,OKC,W (+32),1,29:49:00,8,19,0.421,5,12,0.417,0,0,,1,8,9,6,3,0,2,2,21,18.4,24
61,46,2/26/2018,29-349,GSW,@,NYK,W (+14),1,30:17:00,8,16,0.5,4,9,0.444,1,1,1,0,5,5,5,0,0,3,1,21,14.6,25
62,47,2/28/2018,29-351,GSW,@,WAS,W (+8),1,35:07:00,5,15,0.333,4,9,0.444,11,12,0.917,0,5,5,3,2,0,6,3,25,14.5,20
63,48,3/2/2018,29-353,GSW,@,ATL,W (+5),1,23:29,8,15,0.533,4,9,0.444,8,8,1,0,1,1,3,2,0,0,0,28,25.1,2
64,49,3/6/2018,29-357,GSW,,BRK,W (+13),1,33:56:00,12,20,0.6,6,12,0.5,4,5,0.8,1,5,6,4,3,1,3,2,34,29.3,11
65,50,3/8/2018,29-359,GSW,,SAS,W (+3),1,2:23,0,1,0,0,0,,2,2,1,0,0,0,0,0,0,0,0,2,1.3,-1
66,,3/9/2018,29-360,GSW,@,POR,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
67,,3/11/2018,29-362,GSW,@,MIN,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
68,,3/14/2018,30-000,GSW,,LAL,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
69,,3/16/2018,30-002,GSW,,SAC,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
70,,3/17/2018,30-003,GSW,@,PHO,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
71,,3/19/2018,30-005,GSW,@,SAS,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
72,51,3/23/2018,30-009,GSW,,ATL,W (+12),1,25:22:00,10,18,0.556,3,8,0.375,6,6,1,1,6,7,1,0,1,1,1,29,22.9,9
73,,3/25/2018,30-011,GSW,,UTA,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
74,,3/27/2018,30-013,GSW,,IND,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
75,,3/29/2018,30-015,GSW,,MIL,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
76,,3/31/2018,30-017,GSW,@,SAC,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
77,,4/1/2018,30-018,GSW,,PHO,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
78,,4/3/2018,30-020,GSW,@,OKC,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
79,,4/5/2018,30-022,GSW,@,IND,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
80,,4/7/2018,30-024,GSW,,NOP,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
81,,4/8/2018,30-025,GSW,@,PHO,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
82,,4/10/2018,30-027,GSW,@,UTA,L (-40),Inactive,,,,,,,,,,,,,,,,,,,,,
